Dates,Death
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,2
3/10/2020,2
3/11/2020,3
3/12/2020,3
3/13/2020,7
3/14/2020,9
3/15/2020,11
3/16/2020,17
3/17/2020,24
3/18/2020,28
3/19/2020,44
3/20/2020,67
3/21/2020,84
3/22/2020,94
3/23/2020,123
3/24/2020,157
3/25/2020,206
3/26/2020,267
3/27/2020,342
3/28/2020,433
3/29/2020,533
3/30/2020,645
3/31/2020,775
4/1/2020,920
4/2/2020,1107
4/3/2020,1275
4/4/2020,1444
4/5/2020,1584
4/6/2020,1810
4/7/2020,2016
4/8/2020,2349
4/9/2020,2607
4/10/2020,2767
4/11/2020,2736
4/12/2020,3022
4/13/2020,3194
4/14/2020,3294
4/15/2020,3804
4/16/2020,4052
4/17/2020,4352
4/18/2020,4459
4/19/2020,4586
4/20/2020,4862
4/21/2020,5033
4/22/2020,5279
4/23/2020,5575
4/24/2020,5760
4/25/2020,5877
4/26/2020,5976
4/27/2020,6126
4/28/2020,6314
4/29/2020,6467
4/30/2020,6623
5/1/2020,6736
5/2/2020,6812
5/3/2020,6866
5/4/2020,6993
5/5/2020,6993
5/6/2020,7275
5/7/2020,7392
5/8/2020,7510
5/9/2020,7549
5/10/2020,7569
5/11/2020,7661
5/12/2020,7738
5/13/2020,7861
5/14/2020,7884
5/15/2020,7897
5/16/2020,7938
5/17/2020,7962
5/18/2020,8003
5/19/2020,8081
5/20/2020,8144
5/21/2020,8203
5/22/2020,8228
5/23/2020,8261
5/24/2020,8283
5/25/2020,8309
5/26/2020,8372
5/27/2020,8428
5/28/2020,8470
5/29/2020,8504
5/30/2020,8530
5/31/2020,8540
6/1/2020,8555
6/2/2020,8563
6/3/2020,8602
6/4/2020,8635
6/5/2020,8658
6/6/2020,8673
6/7/2020,8685
6/8/2020,8695
6/9/2020,8736
6/10/2020,8752
6/11/2020,8772
6/12/2020,8783
6/13/2020,8793
6/14/2020,8801
6/15/2020,8807
6/16/2020,8820
6/17/2020,8851
6/18/2020,8875
6/19/2020,8887
6/20/2020,8895
6/21/2020,8895
6/22/2020,8899
6/23/2020,8914
6/24/2020,8928
6/25/2020,8940
6/26/2020,8965
6/27/2020,8968
6/28/2020,8968
6/29/2020,8976
6/30/2020,8990
7/1/2020,8995
7/2/2020,9006
7/3/2020,9010
7/4/2020,9020
7/5/2020,9023
7/6/2020,9022
7/7/2020,9032
7/8/2020,9046
7/9/2020,9057
7/10/2020,9063
7/11/2020,9070
7/12/2020,9071
7/13/2020,9074
7/14/2020,9078
7/15/2020,9080
7/16/2020,9087
7/17/2020,9088
7/18/2020,9091
7/19/2020,9092
7/20/2020,9094
7/21/2020,9099
7/22/2020,9102
7/23/2020,9110
7/24/2020,9120
7/25/2020,9124
7/26/2020,9124
7/27/2020,9125
7/28/2020,9131
7/29/2020,9135
7/30/2020,9144
7/31/2020,9147
8/1/2020,9154
8/2/2020,9154
8/3/2020,9154
8/4/2020,9163
8/5/2020,9179
8/6/2020,9181
8/7/2020,9195
8/8/2020,9201
8/9/2020,9202
8/10/2020,9203
8/11/2020,9208
8/12/2020,9213
8/13/2020,9217
8/14/2020,9230
8/15/2020,9235
8/16/2020,9235
8/17/2020,9236
8/18/2020,9241
8/19/2020,9249
8/20/2020,9263
8/21/2020,9266
8/22/2020,9272
8/23/2020,9275
8/24/2020,9276
8/25/2020,9281
8/26/2020,9285
8/27/2020,9290
8/28/2020,9290
8/29/2020,9299
8/30/2020,9300
8/31/2020,9303
9/1/2020,9307
9/2/2020,9322
9/3/2020,9322
9/4/2020,9327
9/5/2020,9329
9/6/2020,9330
9/7/2020,9331
9/8/2020,9336
9/9/2020,9342
9/10/2020,9345
9/11/2020,9348
9/12/2020,9352
9/13/2020,9354
9/14/2020,9356
9/15/2020,9367
9/16/2020,9373
9/17/2020,9376
9/18/2020,9386
9/19/2020,9388
9/20/2020,9390
9/21/2020,9390
9/22/2020,9405
9/23/2020,9423
9/24/2020,9436
9/25/2020,9451
9/26/2020,9459
9/27/2020,9464
9/28/2020,9468
9/29/2020,9483
9/30/2020,9495
10/1/2020,9509
10/2/2020,9518
10/3/2020,9531
10/4/2020,9533
10/5/2020,9554
10/6/2020,9566
10/7/2020,9582
10/8/2020,9594
10/9/2020,9599
10/10/2020,9620
10/11/2020,9626
10/12/2020,9640
10/13/2020,9682
10/14/2020,9716
10/15/2020,9739
10/16/2020,9773
10/17/2020,9785
10/18/2020,9798
10/19/2020,9842
10/20/2020,9882
10/21/2020,9911
10/22/2020,9960
10/23/2020,9978
10/24/2020,10035
10/25/2020,10062
10/26/2020,10091
10/27/2020,10121
10/28/2020,10218
10/29/2020,10305
10/30/2020,10391
10/31/2020,10483
11/1/2020,10513
11/2/2020,10669
11/3/2020,10717
11/4/2020,10949
11/5/2020,11110
11/6/2020,11240
11/7/2020,11306
11/8/2020,11372
11/9/2020,11408
11/10/2020,11781
11/11/2020,11994
11/12/2020,12216
11/13/2020,12404
11/14/2020,12511
11/15/2020,12573
11/16/2020,12833
11/17/2020,13138
11/18/2020,13390
11/19/2020,13662
11/20/2020,13918
11/21/2020,14061
11/22/2020,14159
11/23/2020,14460
11/24/2020,14832
11/25/2020,15210
11/26/2020,15640
11/27/2020,16011
11/28/2020,16181
11/29/2020,16306
11/30/2020,16694
12/1/2020,17177
12/2/2020,17659
12/3/2020,18097
12/4/2020,18577
12/5/2020,18839
12/6/2020,18989
12/7/2020,19434
12/8/2020,20002
12/9/2020,20460
12/10/2020,21064
12/11/2020,21567
12/12/2020,21900
12/13/2020,22106
12/14/2020,22634
12/15/2020,23544
12/16/2020,24273
12/17/2020,25027
12/18/2020,25754
12/19/2020,26171
12/20/2020,26400
12/21/2020,27110
12/22/2020,28096
12/23/2020,28909
12/24/2020,29330
12/25/2020,29580
12/26/2020,29946
12/27/2020,30297
12/28/2020,31145
12/29/2020,32267
12/30/2020,33230
12/31/2020,33791
1/1/2021,34145
1/2/2021,34480
1/3/2021,34791
1/4/2021,35748
1/5/2021,36757
1/6/2021,37835
1/7/2021,38987
1/8/2021,40022
1/9/2021,40597
1/10/2021,40936
1/11/2021,41799
1/12/2021,42889
1/13/2021,44096
1/14/2021,45207
1/15/2021,45705
1/16/2021,46464
1/17/2021,46901
1/18/2021,47263
1/19/2021,48997
1/20/2021,50010
1/21/2021,50876
1/22/2021,51713
1/23/2021,51873
1/24/2021,52296
1/25/2021,53127
1/26/2021,53619
1/27/2021,54498
1/28/2021,55883
1/29/2021,56286
1/30/2021,57105
1/31/2021,57163
2/1/2021,58059
2/2/2021,58992
2/3/2021,59776
2/4/2021,60634
2/5/2021,61324
2/6/2021,61551
2/7/2021,61708
2/8/2021,62191
2/9/2021,63006
2/10/2021,63672
2/11/2021,64224
2/12/2021,64771
2/13/2021,64990
2/14/2021,65107
2/15/2021,65288
2/16/2021,65829
2/17/2021,66732
2/18/2021,67245
2/19/2021,67741
2/20/2021,67883
2/21/2021,67946
2/22/2021,68363
2/23/2021,68785
2/24/2021,69170
2/25/2021,69343
2/26/2021,69939
2/27/2021,70092
2/28/2021,70152
3/1/2021,70514
3/2/2021,70926
3/3/2021,71285
3/4/2021,71554
3/5/2021,71852
3/6/2021,71951
3/7/2021,71984
3/8/2021,72236
3/9/2021,72534
3/10/2021,72858
3/11/2021,73120
3/12/2021,73348
3/13/2021,73369
